Nickname,Review,Liked
florencevdubois,What a great double cheeseburger!,1
appdigitalclou2,Awesome service and food.,1
pheymanss,A fantastic neighborhood gem !!!,1
BrockTibert,I can't wait to go back.,1
estr2525,The plantains were the worst I've ever tasted.,0
stephhazlitt,It's a great place and I highly recommend it.,1
mobeginomics,Service was slow and not attentive.,0
seankross,"I gave it 5 stars then, and I'm giving it 5 stars now.",1
drob,Your staff spends more time talking to themselves than me.,0
RLadiesMelb,Dessert: Panna Cotta was amazing.,1
deanmarchiori,"Very good food, great atmosphere.1",1
ianagutierrez,Damn good steak.,1
alice_stu_,Total brunch fail.,0
_ronycoelho,"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.",1
trang1618,"The decor is nice, and the piano music soundtrack is pleasant.",1
kaseyzap,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!,1
michael_k_henry,"Good food , good service .",1
jrcuesta,It was absolutely amazing.,1
5aDescida,"I probably won't be back, to be honest.",0
JoaoGAurelio,will definitely be back!,1
SarahLotspeich,The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.,1
nguyenllpsych,"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.",1
danawanzer,Went for lunch - service was slow.,0
cortina_borja,"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.",0
jrboehnke,I was mortified.,0
p_m_afonso,"Needless to say, we will never be back here again.",0
phgmanfro,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.",0
gr_papageorgiou,"The chips that came out were dripping with grease, and mostly not edible.",0
nihilist_ds,I wasn't really impressed with Strip Steak.,0
DataScienceInR,Have been going since 2007 and every meal has been awesome!!,1
WinVectorLLC,Our server was very nice and attentive as were the other serving staff.,1
mattlundy33,The cashier was friendly and even brought the food out to me.,1
ysamano28,I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.,0
lauraktaylorPHD,The atmosphere here is fun.,1
thinksysinc,Would not recommend to others.,0
drizopoulos,"Service is quick and even ""to go"" orders are just like we like it!",1
seth_edmunds,"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!",0
VivianFrancos,"That said, our mouths and bellies were still quite pleased.",1
averagerguy,Not my thing.,0
joscani,2 Thumbs Up!!,1
DrSeaBove,If you are reading this please don't go there.,0
_Ultra_life,"I loved the grilled pizza, reminded me of legit Italian pizza.",1
emm_aguila,Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!,1
h3techdev,They have a really nice atmosphere.,1
HornbeamH,Tonight I had the Elk Filet special...and it sucked.,0
rafaldotnet,"After one bite, I was hooked.",1
CloarecJulien,We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.,0
ClaireECusack,"Cute, quaint, simple, honest.",1
prosser55,The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.,1
nsgrantham,"The food was great as always, compliments to the chef.",1
tkaiser_science,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.,1
RegenMedCat,Awesome selection of beer.,1
SarahClarkBDM,Great food and awesome service!,1
Bokarelli,"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that.",1
welearnr,A FLY was in my apple juice.. A FLY!!!!!!!!,0
revodavid,The Han Nan Chicken was also very tasty.,1
mercuriusio,"As for the service, I thought it was good.",1
Iraklipsyche,"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.",0
arthurbnetto,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,0
giurugg,Nicest Chinese restaurant I've been in a while.,1
Catoper,"Overall, I like there food and the service.",1
DiogoProvete,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.,1
newrogersk,"Probably never coming back, and wouldn't recommend it.",0
jessica_mohlman,"Friend's pasta -- also bad, he barely touched it.",0
epfl_exts,"Try them in the airport to experience some tasty food and speedy, friendly service.",1
Activithink,I love the decor with the Chinese calligraphy wall paper.,1
Luisfreii,Never had anything to complain about here.,1
psolymos,The restaurant is very clean and has a family restaurant feel to it.,1
RPanczak,It was way over fried.,0
HoloMarkeD,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,0
rforjournalists,"When I opened the sandwich, I was impressed, but not in a good way.",0
lifedispersing,Will not be back!,0
ftsbbna,There was a warm feeling with the service and I felt like their guest for a special treat.,1
paulvanderlaken,An extensive menu provides lots of options for breakfast.,1
lluaces,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",1
JakobDambon,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!",0
gfzb_info,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,1
kara_woo,"I got to enjoy the seafood salad, with a fabulous vinegrette.",1
katzkagaya,"The wontons were thin, not thick and chewy, almost melt in your mouth.",1
Corey_Yanofsky,"Level 5 spicy was perfect, where spice didn't over-whelm the soup.",1
surajenv,We were sat right on time and our server from the get go was FANTASTIC!,1
n30sh4d0wderp,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up.",0
EdIvimeyCook,"When I'm on this side of town, this will definitely be a spot I'll hit up again!",1
HopeEcon,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.,0
ShawnRhoads56,This is a GREAT place to eat!,1
rOpenSci,The jalapeno bacon is soooo good.,1
_fcampelo,The service was poor and thats being nice.,0
idavydov,"Food was good, service was good, Prices were good.",1
grenobledata,The place was not clean and the food oh so stale!,0
Highcharts,"The chicken dishes are OK, the beef is like shoe leather.",0
rmkubinec,But the service was beyond bad.,0
riva_ecology,"I'm so happy to be here!!!""",1
CoreySparks1,Tasted like dirt.,0
ICRSreefstudent,One of the few places in Phoenix that I would definately go back to again .,1
brandynlucca,The block was amazing.,1
kerbach2,"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1
barbalhofernand,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!,1
victorshiramizu,My sashimi was poor quality being soggy and tasteless.,0
_TanHo,Great time - family dinner on a Sunday night.,1
UNCResearchHub,"the food is not tasty at all, not to say its ""real traditional Hunan style"".",0
MarcKissel,"What did bother me, was the slow service.",0
shan_k_carter,The flair bartenders are absolutely amazing!,1
NbaInRstats,Their frozen margaritas are WAY too sugary for my taste.,0
Pisita11,These were so good we ordered them twice.,1
lenkiefer,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.,0
dweitzel,My girlfriend's veal was very bad.,0
romunov,"Unfortunately, it was not good.",0
JackiePsych,I had a pretty satifying experience.,1
msimas,Join the club and get awesome offers via email.,1
UofGHackyHour,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1
R_Forwards,Bland and flavorless is a good way of describing the barely tepid meat.,0
BayesDose,"The chains, which I'm no fan of, beat this place easily.",0
Chazkon,The nachos are a MUST HAVE!,1
noamross,We will not be coming back.,0
Eddy_Tabone,"I don't have very many words to say about this place, but it does everything pretty well.",1
mariodetoma,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff.",1
kllycttn,"Great atmosphere, friendly and fast service.",1
bastimapache,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.,1
mcintord,Once your food arrives it's meh.,0
otavio_ranzani,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0
katharina_stute,The classic Maine Lobster Roll was fantastic.,1
HarbRimah,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too.",0
frod_san,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.,1
helenahhartmann,"The chips and salsa were really good, the salsa was very fresh.",1
zubsw,This place is great!!!!!!!!!!!!!!,1
SAGE_Methods,Mediocre food.,0
javahelponline,Once you get inside you'll be impressed with the place.,1
BCastagneyrol,I'm super pissd.,0
CAA_SSLA,And service was super friendly.,1
r_vaquerizo,Why are these sad little vegetables so overcooked?,0
DevindeZwaan,This place was such a nice surprise!,1
DToshkov,They were golden-crispy and delicious.,1
Datacove1,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat.",0
TransmitScience,I could eat their bruschetta all day it is devine.,1
opengeohub,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.,0
JDB112761,"Lastly, the mozzarella sticks, they were the best thing we ordered.",1
Nari_Dorey,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.",1
bakerdh,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!,0
tdawry,The service was terrible though.,0
amirharjo,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!",0
MattDzugan,It was packed!!,0
tomkXY,I can say that the desserts were yummy.,1
designnation20,The seasonal fruit was fresh white peach puree.,1
meghansharris,It kept getting worse and worse so now I'm officially done.,0
hannahyan,This place should honestly be blown up.,0
SOToluwalope,But I definitely would not eat here again.,0
aGricolaMZ,Do not waste your money here!,0
y2yuuuki,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,1
ECOuture9,The crêpe was delicate and thin and moist.,1
crow_data_sci,Awful service.,0
NorimitsuNishi1,Won't ever go here again.,0
k6adams,Food quality has been horrible.,0
chendaniely,For that price I can think of a few place I would have much rather gone.,0
biancamuniz__,The service here is fair at best.,0
davidcnorrismd,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services.",0
RBusiness_,Do yourself a favor and stay away from this dish.,0
OpensaludLAB,Very poor service.,0
civilstat,No one at the table thought the food was above average or worth the wait that we had for it.,0
originalGandy,"Best service and food ever, Maria our server was so good and friendly she made our day.",1
schvartz_nora,They were excellent.,1
jim_gruman,I paid the bill but did not tip because I felt the server did a terrible job.,0
mena_gibran,Just had lunch here and had a great experience.,1
Nate__Haines,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.,0
CJCascalheira,Food is way overpriced and portions are fucking small.,0
datavisFriendly,I recently tried Caballero's and I have been back every week since!,1
ajhatswell,"for 40 bucks a head, i really expect better food.",0
MartinDCortez,The food came out at a good pace.,1
HumanOrienters,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",1
thuyvytnguyen,We could not believe how dirty the oysters were!,0
appdigitalcloud,This place deserves no stars.,0
Callin_Osborn,"In fact I'm going to round up to 4 stars, just because she was so awesome.",1
origamicrab,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.",0
BiometryHub,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!",0
SamanthaStanley,the potatoes were great and so was the biscuit.,1
SpacePlowboy,I probably would not go here again.,0
promoedutech,So flavorful and has just the perfect amount of heat.,1
JepsonNomad,The price is reasonable and the service is great.,1
bonschorno,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either.",0
btskinner,My fella got the huevos rancheros and they didn't look too appealing.,0
datavizpyr,"Went in for happy hour, great list of wines.",1
cmdline_tips,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!,1
ResearchGenome,I probably won't be coming back here.,0
milesphd,Worst food/service I've had in a while.,0
Ifeanyidiaye,"This place is pretty good, nice little vibe in the restaurant.",1
PavicicMiso,Talk about great customer service of course we will be back.,1
beeboileau,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil.",0
tjmahr,I love their fries and their beans.,1
AndyOReilly10,Always a pleasure dealing with him.,1
long39ng,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval.",1
nevromeCS,This place is awesome if you want something light and healthy during the summer.,1
Scar_Data,"For sushi on the Strip, this is the place to go.",1
DrAustinRBrown,"The service was great, even the manager came and helped with our table.",1
SamApgar,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.,0
brooktroutbob,"I started this review with two stars, but I'm editing it to give it only one.",0
HolgerCevallosV,this is the worst sushi i have ever eat besides Costco's.,0
nathaneastwood_,"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting.",1
Samuel0X_,My boyfriend and i sat at the bar and had a completely delightful experience.,1
marskar,Weird vibe from owners.,0
parttimeanalyst,There was hardly any meat.,0
SamuelGWorkman,I've had better bagels from the grocery store.,0
neuranna,Go To Place for Gyros.,1
erictleung,"I love the owner/chef, his one authentic Japanese cool dude!",1
florihas,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless.",0
NesaSornaly,I found a six inch long piece of wire in my salsa.,0
henrywrover2,"The service was terrible, food was mediocre.",0
JaedynRuli,We definately enjoyed ourselves.,1
Heldt8,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.,0
EvolutionPirate,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.",0
Jonamedi98,I had about two bites and refused to eat anymore.,0
tenibta,The service was extremely slow.,0
iampriyapareek,"After 20 minutes wait, I got a table.",0
MSKBiostats,Seriously killer hot chai latte.,1
JaimeAAvendano,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0
_useRconf,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1
itinerbury,Their rotating beers on tap is also a highlight of this place.,1
CarpenitoThomas,Pricing is a bit of a concern at Mellow Mushroom.,0
jepusto,Worst Thai ever.,0
DataSCOUT2,If you stay in Vegas you must get breakfast here at least once.,1
edugate_skills,I want to first say our server was great and we had perfect service.,1
BoringCoderr,The pizza selections are good.,1
OpenDataZurich,"I had strawberry tea, which was good.",1
EladOzC,Highly unprofessional and rude to a loyal patron!,0
nrennie35,"Overall, a great experience.",1
semuhi,Spend your money elsewhere.,0
LisaDeBruine,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1
TweetFromBecky,The Buffet at Bellagio was far from what I anticipated.,0
jaredlander,"And the drinks are WEAK, people!",0
SQLGrandpa,"Also, I feel like the chips are bought, not made in house.",0
CleitonOERocha,After the disappointing dinner we went elsewhere for dessert.,0
NesatJahan1,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1
maximaDataSci_R,We won't be returning.,0
KateSansum,This is my new fav Vegas buffet spot.,1
domains_perfect,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0
RockIceandSnow,"Very, very sad.",0
D_M_Ethier,"i felt insulted and disrespected, how could you talk and judge another human being like that?",0
valentiandrade,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0
LanderAnalytics,I'm not impressed with the concept or the food.,0
cavaliere_emily,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0
rahulvilaskale,"There is really nothing for me at postinos, hope your experience is better",0
socarchsci,I got food poisoning here at the buffet.,0
mattansb,They brought a fresh batch of fries and I was thinking yay something warm but no!,0
DPagliaccio,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0
USGS_Idaho,"Needless to say, I won't be going back anytime soon.",0
analysis_factor,This place is disgusting!,0
gh_firefly,"Every time I eat here, I see caring teamwork to a professional degree.",1
tangming2005,The RI style calamari was a joke.,0
ATpoint90,"However, there was so much garlic in the fondue, it was barely edible.",0
ListenData,"I could barely stomach the meal, but didn't complain because it was a business lunch.",0
tgwilson,"It was so bad, I had lost the heart to finish it.",0
YashithaChandi1,It also took her forever to bring us the check when we asked for it.,0
DeCiccoDonk,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0
kosmikastaway,Disappointing experience.,0
hauke_licht,"The food is about on par with Denny's, which is to say, not good at all.",0
Amit_Levinson,"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0
TeebzR,WAAAAAAyyyyyyyyyy over rated is all I am saying.,0
oaggimenez,We won't be going back.,0
CoodignD,The place was fairly clean but the food simply wasn't worth it.,0
ParmarShantun,This place lacked style!!,0
lexcomber,"The sangria was about half of a glass wine full and was $12, ridiculous.",0
AugustusPendle1,Don't bother coming here.,0
HilaryMatfess,"The meat was pretty dry, I had the sliced brisket and pulled pork.",0
MilesMcBain,"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",0
MarioNiepel,It was equally awful.,0
ArzyaPrinciple,Probably not in a hurry to go back.,0
PoliSciJack,very slow at seating even with reservation.,0
andybaxter,Not good by any stretch of the imagination.,0
FederigoRuiz,The cashew cream sauce was bland and the vegetables were undercooked.,0
darokun,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0
AnalyticaMachka,"It was a bit too sweet, not really spicy enough, and lacked flavor.",0
KiraHoeffler,I was VERY disappointed!!,0
USGS_R,This place is horrible and way overpriced.,0
BenParker140,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0
sprachspinat,It wasn't busy at all and now we know why.,0
Mon_Bennett8,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0
SoniaBoender,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0
satish9sati,Con: spotty service.,0
cararthompson,"The fries were not hot, and neither was my burger.",0
datawookie,But then they came back cold.,0
TheBoringMusk,"Then our food came out, disappointment ensued.",0
data_crafter,The real disappointment was our waiter.,0
LiTar1991,My husband said she was very rude... did not even apologize for the bad food or anything.,0
CREEM_cake,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0
levene_bartlett,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0
Denicejean8,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0
ephorie,She was quite disappointed although some blame needs to be placed at her door.,0
emymantilla,After all the rave reviews I couldn't wait to eat here......what a disappointment!,0
AlePalmi82,Del Taco is pretty nasty and should be avoided if possible.,0
myweather_ch,It's NOT hard to make a decent hamburger.,0
RLadiesBLR,But I don't like it.,0
trxplayer,Hell no will I go back,0
SEMDocs,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0
1308arpitchaur1,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0
DrLauraJBird,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0
SylviaLobo,The ambiance isn't much better.,0
benlmaoujoud_,"Unfortunately, it only set us up for disapppointment with our entrees.",0
_anirudhgovind,The food wasn't good.,0
Thoughtfulnz,"Your servers suck, wait, correction, our server Heimer sucked.",0
andinaswidya,What happened next was pretty....off putting.,0
LukefromFuture,"too bad cause I know it's family owned, I really wanted to like this place.",0
theRcast,Overpriced for what you are getting.,0
Product26025280,I vomited in the bathroom mid lunch.,0
setupel,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0
hauke_licht,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0
Amit_Levinson,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0
TeebzR,Food was below average.,0
oaggimenez,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0
CoodignD,"All in all, Ha Long Bay was a bit of a flop.",0
ParmarShantun,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0
lexcomber,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0
AugustusPendle1,"It lacked flavor, seemed undercooked, and dry.",0
HilaryMatfess,It really is impressive that the place hasn't closed down.,0
appdigitalclou1,I would avoid this place if you are staying in the Mirage.,0
AbelTorresEspi2,The refried beans that came with my meal were dried out and crusty and the food was bland.,0
moh_fodil,Spend your money and time some place else.,0
owenlhjphillips,A lady at the table next to us found a live green caterpillar In her salad.,0
obeverley,the presentation of the food was awful.,0
thepgmsolutions,I can't tell you how disappointed I was.,0
nikos_kyritsis,I think food should have flavor and texture and both were lacking.,0
DominicComtois,Appetite instantly gone.,0
ikashnitsky,Overall I was not impressed and would not go back.,0
StatsGary,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0
vicbiostat,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0
