,Review
494,And then tragedy struck.
495,The pancake was also really good and pretty large at that.
496,"This was my first crawfish experience, and it was delicious!"
497,Their monster chicken fried steak and eggs is my all time favorite.
498,Waitress was sweet and funny.
499,"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!"
500,"I'd rather eat airline food, seriously."
501,Cant say enough good things about this place.
502,The ambiance was incredible.
503,The waitress and manager are so friendly.
504,I would not recommend this place.
505,Overall I wasn't very impressed with Noca.
506,My gyro was basically lettuce only.
507,Terrible service!
508,Thoroughly disappointed!
509,"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here."
510,"Give it a try, you will be happy you did."
511,By far the BEST cheesecurds we have ever had!
512,Reasonably priced also!
513,Everything was perfect the night we were in.
514,The food is very good for your typical bar food.
515,it was a drive to get there.
516,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff."
517,"Anyway, I do not think i will go back there."
518,"Point your finger at any item on the menu, order it and you won't be disappointed."
519,"Oh this is such a thing of beauty, this restaurant."
520,If you haven't gone here GO NOW!
521,"A greasy, unhealthy meal."
522,first time there and might just be the last.
523,Those burgers were amazing.
524,"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late."
525,And it was way to expensive.
526,"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for."
527,This was my first time and I can't wait until the next.
528,The bartender was also nice.
529,Everything was good and tasty!
530,This place is two thumbs up....way up.
531,"The best place in Vegas for breakfast (just check out a Sat, or Sun."
532,"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place."
533,Terrible management.
534,An excellent new restaurant by an experienced Frenchman.
535,If there were zero stars I would give it zero stars.
536,"Great steak, great sides, great wine, amazing desserts."
537,Worst martini ever!
538,The steak and the shrimp are in my opinion the best entrees at GC.
539,I had the opportunity today to sample your amazing pizzas!
540,We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).
541,The yellowtail carpaccio was melt in your mouth fresh.
542,I won't try going back there even if it's empty.
543,"No, I'm going to eat the potato that I found some strangers hair in it."
544,Just spicy enough.. Perfect actually.
545,Last night was my second time dining here and I was so happy I decided to go back!
546,"not even a ""hello, we will be right with you."""
547,The desserts were a bit strange.
548,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.
549,"I really do recommend this place, you can go wrong with this donut place!"
550,Nice ambiance.
551,I would recommend saving room for this!
552,I guess maybe we went on an off night but it was disgraceful.
553,"However, my recent experience at this particular location was not so good."
554,"I know this is not like the other restaurants at all, something is very off here!"
555,AVOID THIS ESTABLISHMENT!
556,I think this restaurant suffers from not trying hard enough.
557,All of the tapas dishes were delicious!
558,I *heart* this place.
559,My salad had a bland vinegrette on the baby greens and hearts of Palm.
560,After two I felt disgusting.
561,A good time!
562,I believe that this place is a great stop for those with a huge belly and hankering for sushi.
563,Generous portions and great taste.
564,I will never go back to this place and will never ever recommended this place to anyone!
565,"The servers went back and forth several times, not even so much as an ""Are you being helped?"""
566,Food was delicious!
567,AN HOUR... seriously?
568,I consider this theft.
569,Eew... This location needs a complete overhaul.
570,We recently witnessed her poor quality of management towards other guests as well.
571,Waited and waited and waited.
572,"He also came back to check on us regularly, excellent service."
573,Our server was super nice and checked on us many times.
574,"The pizza tasted old, super chewy in not a good way."
575,I swung in to give them a try but was deeply disappointed.
576,Service was good and the company was better!
577,The staff are also very friendly and efficient.
578,"As for the service: I'm a fan, because it's quick and you're being served by some nice folks."
579,Boy was that sucker dry!!.
580,Over rated.
581,"If you look for authentic Thai food, go else where."
582,Their steaks are 100% recommended!
583,After I pulled up my car I waited for another 15 minutes before being acknowledged.
584,Great food and great service in a clean and friendly setting.
585,"All in all, I can assure you I'll be back."
586,I hate those things as much as cheap quality black olives.
587,"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar."
588,The kids play area is NASTY!
589,Great place fo take out or eat in.
590,The waitress was friendly and happy to accomodate for vegan/veggie options.
591,OMG I felt like I had never eaten Thai food until this dish.
592,"It was extremely ""crumby"" and pretty tasteless."
593,It was a pale color instead of nice and char and has NO flavor.
594,The croutons also taste homemade which is an extra plus.
595,I got home to see the driest damn wings ever!
596,It'll be a regular stop on my trips to Phoenix!
597,I really enjoyed Crema Café before they expanded. I even told friends they had the BEST breakfast.
598,Not good for the money.
599,I miss it and wish they had one in Philadelphia!
600,"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived."
601,They also have the best cheese crisp in town.
602,"Good value, great food, great service."
603,Couldn't ask for a more satisfying meal.
604,The food is good.
605,It was awesome.
606,I just wanted to leave.
607,We made the drive all the way from North Scottsdale... and I was not one bit disappointed!
608,I will not be eating there again.
609,!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!
610,I checked out this place a couple years ago and was not impressed.
611,"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy."
612,"Sorry, I will not be getting food from here anytime soon :("
613,An absolute must visit!
614,The cow tongue and cheek tacos are amazing.
615,My friend did not like his Bloody Mary.
616,"Despite how hard I rate businesses, its actually rare for me to give a 1 star."
617,They really want to make your experience a good one.
618,I will not return.
619,I had the chicken Pho and it tasted very bland.
620,Very disappointing!!!
621,The grilled chicken was so tender and yellow from the saffron seasoning.
622,"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait."
623,Pretty awesome place.
624,Ambience is perfect.
625,Best of luck to the rude and non-customer service focused new management.
626,Any grandmother can make a roasted chicken better than this one.
627,I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.
628,"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!"
629,Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !
630,The roast beef sandwich tasted really good!
631,"Same evening, him and I are both drastically sick."
632,High-quality chicken on the chicken Caesar salad.
633,Ordered burger rare came in we'll done.
634,We were promptly greeted and seated.
635,Tried to go here for lunch and it was a madhouse.
636,"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable."
637,"After waiting an hour and being seated, I was not in the greatest of moods."
638,This is a good joint.
639,The Macarons here are insanely good.
640,I'm not eating here!
641,"Our waiter was very attentive, friendly, and informative."
642,Maybe if they weren't cold they would have been somewhat edible.
643,This place has a lot of promise but fails to deliver.
644,Very bad Experience!
645,What a mistake.
646,Food was average at best.
647,Great food.
648,We won't be going back anytime soon!
649,Very Very Disappointed ordered the $35 Big Bay Plater.
650,Great place to relax and have an awesome burger and beer.
651,It is PERFECT for a sit-down family meal or get together with a few friends.
652,"Not much flavor to them, and very poorly constructed."
653,The patio seating was very comfortable.
654,The fried rice was dry as well.
655,Hands down my favorite Italian restaurant!
656,"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas."
657,It was just not a fun experience.
658,The atmosphere was great with a lovely duo of violinists playing songs we requested.
659,"I personally love the hummus, pita, baklava, falafels and Baba Ganoush (it's amazing what they do with eggplant!)."
660,"Very convenient, since we were staying at the MGM!"
661,The owners are super friendly and the staff is courteous.
662,Both great!
663,Eclectic selection.
664,The sweet potato tots were good but the onion rings were perfection or as close as I have had.
665,The staff was very attentive.
666,And the chef was generous with his time (even came around twice so we can take pictures with him).
667,"The owner used to work at Nobu, so this place is really similar for half the price."
668,Google mediocre and I imagine Smashburger will pop up.
669,dont go here.
670,I promise they won't disappoint.
671,As a sushi lover avoid this place by all means.
672,What a great double cheeseburger!
673,Awesome service and food.
674,A fantastic neighborhood gem !!!
675,I can't wait to go back.
676,The plantains were the worst I've ever tasted.
677,It's a great place and I highly recommend it.
678,Service was slow and not attentive.
679,"I gave it 5 stars then, and I'm giving it 5 stars now."
680,Your staff spends more time talking to themselves than me.
681,Dessert: Panna Cotta was amazing.
682,"Very good food, great atmosphere.1"
683,Damn good steak.
684,Total brunch fail.
685,"Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo."
686,"The decor is nice, and the piano music soundtrack is pleasant."
687,The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!
688,"Good food , good service ."
689,It was absolutely amazing.
690,"I probably won't be back, to be honest."
691,will definitely be back!
692,The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.
693,"Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good."
694,Went for lunch - service was slow.
695,"We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed."
696,I was mortified.
697,"Needless to say, we will never be back here again."
698,"Anyways, The food was definitely not filling at all, and for the price you pay you should expect more."
699,"The chips that came out were dripping with grease, and mostly not edible."
700,I wasn't really impressed with Strip Steak.
701,Have been going since 2007 and every meal has been awesome!!
702,Our server was very nice and attentive as were the other serving staff.
703,The cashier was friendly and even brought the food out to me.
704,I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.
705,The atmosphere here is fun.
706,Would not recommend to others.
707,"Service is quick and even ""to go"" orders are just like we like it!"
708,"I mean really, how do you get so famous for your fish and chips when it's so terrible!?!"
709,"That said, our mouths and bellies were still quite pleased."
710,Not my thing.
711,2 Thumbs Up!!
712,If you are reading this please don't go there.
713,"I loved the grilled pizza, reminded me of legit Italian pizza."
714,Only Pros : Large seating area/ Nice bar area/ Great simple drink menu/ The BEST brick oven pizza with homemade dough!
715,They have a really nice atmosphere.
716,Tonight I had the Elk Filet special...and it sucked.
717,"After one bite, I was hooked."
718,We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.
719,"Cute, quaint, simple, honest."
720,The chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside.
721,"The food was great as always, compliments to the chef."
722,Special thanks to Dylan T. for the recommendation on what to order :) All yummy for my tummy.
723,Awesome selection of beer.
724,Great food and awesome service!
725,"One nice thing was that they added gratuity on the bill since our party was larger than 6 or 8, and they didn't expect more tip than that."
726,A FLY was in my apple juice.. A FLY!!!!!!!!
727,The Han Nan Chicken was also very tasty.
728,"As for the service, I thought it was good."
729,"The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us."
730,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.
731,Nicest Chinese restaurant I've been in a while.
732,"Overall, I like there food and the service."
733,They also now serve Indian naan bread with hummus and some spicy pine nut sauce that was out of this world.
734,"Probably never coming back, and wouldn't recommend it."
735,"Friend's pasta -- also bad, he barely touched it."
736,"Try them in the airport to experience some tasty food and speedy, friendly service."
737,I love the decor with the Chinese calligraphy wall paper.
738,Never had anything to complain about here.
739,The restaurant is very clean and has a family restaurant feel to it.
740,It was way over fried.
741,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.
742,"When I opened the sandwich, I was impressed, but not in a good way."
743,Will not be back!
744,There was a warm feeling with the service and I felt like their guest for a special treat.
745,An extensive menu provides lots of options for breakfast.
746,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from."
747,"I have watched their prices inflate, portions get smaller and management attitudes grow rapidly!"
748,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.
749,"I got to enjoy the seafood salad, with a fabulous vinegrette."
750,"The wontons were thin, not thick and chewy, almost melt in your mouth."
751,"Level 5 spicy was perfect, where spice didn't over-whelm the soup."
752,We were sat right on time and our server from the get go was FANTASTIC!
753,"Main thing I didn't enjoy is that the crowd is of older crowd, around mid 30s and up."
754,"When I'm on this side of town, this will definitely be a spot I'll hit up again!"
755,I had to wait over 30 minutes to get my drink and longer to get 2 arepas.
756,This is a GREAT place to eat!
757,The jalapeno bacon is soooo good.
758,The service was poor and thats being nice.
759,"Food was good, service was good, Prices were good."
760,The place was not clean and the food oh so stale!
761,"The chicken dishes are OK, the beef is like shoe leather."
762,But the service was beyond bad.
763,"I'm so happy to be here!!!"""
764,Tasted like dirt.
765,One of the few places in Phoenix that I would definately go back to again .
766,The block was amazing.
767,"It's close to my house, it's low-key, non-fancy, affordable prices, good food."
768,* Both the Hot & Sour & the Egg Flower Soups were absolutely 5 Stars!
769,My sashimi was poor quality being soggy and tasteless.
770,Great time - family dinner on a Sunday night.
771,"the food is not tasty at all, not to say its ""real traditional Hunan style""."
772,"What did bother me, was the slow service."
773,The flair bartenders are absolutely amazing!
774,Their frozen margaritas are WAY too sugary for my taste.
775,These were so good we ordered them twice.
776,So in a nutshell: 1) The restaraunt smells like a combination of a dirty fish market and a sewer.
777,My girlfriend's veal was very bad.
778,"Unfortunately, it was not good."
779,I had a pretty satifying experience.
780,Join the club and get awesome offers via email.
781,"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder."
782,Bland and flavorless is a good way of describing the barely tepid meat.
783,"The chains, which I'm no fan of, beat this place easily."
784,The nachos are a MUST HAVE!
785,We will not be coming back.
786,"I don't have very many words to say about this place, but it does everything pretty well."
787,"The staff is super nice and very quick even with the crazy crowds of the downtown juries, lawyers, and court staff."
788,"Great atmosphere, friendly and fast service."
789,When I received my Pita it was huge it did have a lot of meat in it so thumbs up there.
790,Once your food arrives it's meh.
791,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.
792,The classic Maine Lobster Roll was fantastic.
793,"My brother in law who works at the mall ate here same day, and guess what he was sick all night too."
794,So good I am going to have to review this place twice - once hereas a tribute to the place and once as a tribute to an event held here last night.
795,"The chips and salsa were really good, the salsa was very fresh."
796,This place is great!!!!!!!!!!!!!!
797,Mediocre food.
798,Once you get inside you'll be impressed with the place.
799,I'm super pissd.
800,And service was super friendly.
801,Why are these sad little vegetables so overcooked?
802,This place was such a nice surprise!
803,They were golden-crispy and delicious.
804,"I had high hopes for this place since the burgers are cooked over a charcoal grill, but unfortunately the taste fell flat, way flat."
805,I could eat their bruschetta all day it is devine.
806,Not a single employee came out to see if we were OK or even needed a water refill once they finally served us our food.
807,"Lastly, the mozzarella sticks, they were the best thing we ordered."
808,"The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was."
809,The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!
810,The service was terrible though.
811,"This place is overpriced, not consistent with their boba, and it really is OVERPRICED!"
812,It was packed!!
813,I can say that the desserts were yummy.
814,The seasonal fruit was fresh white peach puree.
815,It kept getting worse and worse so now I'm officially done.
816,This place should honestly be blown up.
817,But I definitely would not eat here again.
818,Do not waste your money here!
819,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.
820,The crêpe was delicate and thin and moist.
821,Awful service.
822,Won't ever go here again.
823,Food quality has been horrible.
824,For that price I can think of a few place I would have much rather gone.
825,The service here is fair at best.
826,"I do love sushi, but I found Kabuki to be over-priced, over-hip and under-services."
827,Do yourself a favor and stay away from this dish.
828,Very poor service.
829,No one at the table thought the food was above average or worth the wait that we had for it.
830,"Best service and food ever, Maria our server was so good and friendly she made our day."
831,They were excellent.
832,I paid the bill but did not tip because I felt the server did a terrible job.
833,Just had lunch here and had a great experience.
834,I have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor.
835,Food is way overpriced and portions are fucking small.
836,I recently tried Caballero's and I have been back every week since!
837,"for 40 bucks a head, i really expect better food."
838,The food came out at a good pace.
839,"I ate there twice on my last visit, and especially enjoyed the salmon salad."
840,We could not believe how dirty the oysters were!
841,This place deserves no stars.
842,"In fact I'm going to round up to 4 stars, just because she was so awesome."
843,"To my disbelief, each dish qualified as the worst version of these foods I have ever tasted."
844,"Bad day or not, I have a very low tolerance for rude customer service people, it is your job to be nice and polite, wash dishes otherwise!!"
845,the potatoes were great and so was the biscuit.
846,I probably would not go here again.
847,So flavorful and has just the perfect amount of heat.
848,The price is reasonable and the service is great.
849,"The Wife hated her meal (coconut shrimp), and our friends really did not enjoy their meals, either."
850,My fella got the huevos rancheros and they didn't look too appealing.
851,"Went in for happy hour, great list of wines."
852,Some may say this buffet is pricey but I think you get what you pay for and this place you are getting quite a lot!
853,I probably won't be coming back here.
854,Worst food/service I've had in a while.
855,"This place is pretty good, nice little vibe in the restaurant."
856,Talk about great customer service of course we will be back.
857,"Hot dishes are not hot, cold dishes are close to room temp.I watched staff prepare food with BARE HANDS, no gloves.Everything is deep fried in oil."
858,I love their fries and their beans.
859,Always a pleasure dealing with him.
860,"They have a plethora of salads and sandwiches, and everything I've tried gets my seal of approval."
861,This place is awesome if you want something light and healthy during the summer.
862,"For sushi on the Strip, this is the place to go."
863,"The service was great, even the manager came and helped with our table."
864,The feel of the dining room was more college cooking course than high class dining and the service was slow at best.
865,"I started this review with two stars, but I'm editing it to give it only one."
866,this is the worst sushi i have ever eat besides Costco's.
867,"All in all an excellent restaurant highlighted by great service, a unique menu, and a beautiful setting."
868,My boyfriend and i sat at the bar and had a completely delightful experience.
869,Weird vibe from owners.
870,There was hardly any meat.
871,I've had better bagels from the grocery store.
872,Go To Place for Gyros.
873,"I love the owner/chef, his one authentic Japanese cool dude!"
874,"Now the burgers aren't as good, the pizza which used to be amazing is doughy and flavorless."
875,I found a six inch long piece of wire in my salsa.
876,"The service was terrible, food was mediocre."
877,We definately enjoyed ourselves.
878,I ordered Albondigas soup - which was just warm - and tasted like tomato soup with frozen meatballs.
879,"On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate."
880,I had about two bites and refused to eat anymore.
881,The service was extremely slow.
882,"After 20 minutes wait, I got a table."
883,Seriously killer hot chai latte.
884,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts."
885,My boyfriend tried the Mediterranean Chicken Salad and fell in love.
886,Their rotating beers on tap is also a highlight of this place.
887,Pricing is a bit of a concern at Mellow Mushroom.
888,Worst Thai ever.
889,If you stay in Vegas you must get breakfast here at least once.
890,I want to first say our server was great and we had perfect service.
891,The pizza selections are good.
892,"I had strawberry tea, which was good."
893,Highly unprofessional and rude to a loyal patron!
894,"Overall, a great experience."
895,Spend your money elsewhere.
896,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!
897,The Buffet at Bellagio was far from what I anticipated.
898,"And the drinks are WEAK, people!"
899,"Also, I feel like the chips are bought, not made in house."
900,After the disappointing dinner we went elsewhere for dessert.
901,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!
902,We won't be returning.
903,This is my new fav Vegas buffet spot.
904,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.
905,"Very, very sad."
906,"i felt insulted and disrespected, how could you talk and judge another human being like that?"
907,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!"
908,I'm not impressed with the concept or the food.
909,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.
910,"There is really nothing for me at postinos, hope your experience is better"
911,I got food poisoning here at the buffet.
912,They brought a fresh batch of fries and I was thinking yay something warm but no!
913,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us."
914,"Needless to say, I won't be going back anytime soon."
915,This place is disgusting!
916,"Every time I eat here, I see caring teamwork to a professional degree."
917,The RI style calamari was a joke.
918,"However, there was so much garlic in the fondue, it was barely edible."
919,"I could barely stomach the meal, but didn't complain because it was a business lunch."
920,"It was so bad, I had lost the heart to finish it."
921,It also took her forever to bring us the check when we asked for it.
922,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!
923,Disappointing experience.
924,"The food is about on par with Denny's, which is to say, not good at all."
925,"If you want to wait for mediocre food and downright terrible service, then this is the place for you."
926,WAAAAAAyyyyyyyyyy over rated is all I am saying.
927,We won't be going back.
928,The place was fairly clean but the food simply wasn't worth it.
929,This place lacked style!!
930,"The sangria was about half of a glass wine full and was $12, ridiculous."
931,Don't bother coming here.
932,"The meat was pretty dry, I had the sliced brisket and pulled pork."
933,"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again."
934,It was equally awful.
935,Probably not in a hurry to go back.
936,very slow at seating even with reservation.
937,Not good by any stretch of the imagination.
938,The cashew cream sauce was bland and the vegetables were undercooked.
939,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat."
940,"It was a bit too sweet, not really spicy enough, and lacked flavor."
941,I was VERY disappointed!!
942,This place is horrible and way overpriced.
943,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best."
944,It wasn't busy at all and now we know why.
945,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.
946,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits."
947,Con: spotty service.
948,"The fries were not hot, and neither was my burger."
949,But then they came back cold.
950,"Then our food came out, disappointment ensued."
951,The real disappointment was our waiter.
952,My husband said she was very rude... did not even apologize for the bad food or anything.
953,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.
954,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it."
955,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?
956,She was quite disappointed although some blame needs to be placed at her door.
957,After all the rave reviews I couldn't wait to eat here......what a disappointment!
958,Del Taco is pretty nasty and should be avoided if possible.
959,It's NOT hard to make a decent hamburger.
960,But I don't like it.
961,Hell no will I go back
962,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.
963,"I don't know what the big deal is about this place, but I won't be back ""ya'all""."
964,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.
965,The ambiance isn't much better.
966,"Unfortunately, it only set us up for disapppointment with our entrees."
967,The food wasn't good.
968,"Your servers suck, wait, correction, our server Heimer sucked."
969,What happened next was pretty....off putting.
970,"too bad cause I know it's family owned, I really wanted to like this place."
971,Overpriced for what you are getting.
972,I vomited in the bathroom mid lunch.
973,"I kept looking at the time and it had soon become 35 minutes, yet still no food."
974,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list."
975,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.
976,Food was below average.
977,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.
978,"All in all, Ha Long Bay was a bit of a flop."
979,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).
980,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.
981,"It lacked flavor, seemed undercooked, and dry."
982,It really is impressive that the place hasn't closed down.
983,I would avoid this place if you are staying in the Mirage.
984,The refried beans that came with my meal were dried out and crusty and the food was bland.
985,Spend your money and time some place else.
986,A lady at the table next to us found a live green caterpillar In her salad.
987,the presentation of the food was awful.
988,I can't tell you how disappointed I was.
989,I think food should have flavor and texture and both were lacking.
990,Appetite instantly gone.
991,Overall I was not impressed and would not go back.
992,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time."
993,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check."
